LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
810169,0.465185,0.465212,0.465198,1.000058,289,6.0,2.1,8.2,2.3,15.47,0.77,743,15.1,2.8,31.4,3.6,15.59,0.75,2.1497,2.2232,13.6017,0.066,9.937,2.1496,2.223,13.6082,0.0077,16.149,0.02,6e-05,,Z,12.0,period
924301,0.507503,0.50744,0.507472,0.999876,418,13.8,1.9,35.3,3.8,15.42,0.87,189,162.9,9.3,224.9,11.1,15.65,0.79,1.9704,2.0043,29.5072,0.0503,11.4848,1.9707,1.9763,178.4121,0.0219,18.8612,0.08,0.00012,,Z,10.0,period
1092244,0.649496,0.649558,0.649527,1.000095,590,2.3,1.2,5.2,1.7,16.09,0.72,326,32.1,3.6,51.6,5.3,16.15,0.58,1.5397,1.5735,29.5421,0.1267,13.4443,1.5395,1.564,40.833,0.0138,14.1927,0.14,0.0001,,Z,7.0,period
1244554,0.536875,0.536962,0.536919,1.000162,469,9.5,1.8,18.4,2.7,15.78,0.71,312,14.8,2.3,177.1,7.5,15.58,0.97,1.8626,1.8966,29.4638,0.0687,12.3222,1.8623,1.9325,14.2481,0.0416,15.6071,0.26,0.00016,,Z,14.0,period
1307948,0.527474,0.527415,0.527444,0.999888,262,6.7,1.8,9.6,1.6,15.63,0.49,655,35.2,4.5,49.8,5.2,15.53,0.54,1.8958,1.9302,29.0909,0.0682,6.336,1.896,1.9494,18.7441,0.01,20.0332,0.05,0.00011,,Z,9.0,period
1332201,0.580711,0.580731,0.580721,1.000034,260,9.2,1.6,9.8,1.6,15.22,0.59,208,50.1,4.2,60.5,4.9,15.23,0.83,1.722,1.7559,29.4942,0.0723,12.3986,1.722,1.7918,14.3225,0.0045,6.6974,0.24,3e-05,,Z,7.0,period
1390653,0.521867,0.521871,0.521869,1.000008,524,4.2,1.3,4.1,1.3,15.83,1.1,310,44.9,4.1,47.1,4.4,15.79,1.28,1.9162,1.9502,29.4291,0.0516,10.3776,1.9162,2.0026,11.5768,0.0326,51.297,0.18,1e-05,,Z,5.0,amp
1435279,0.381858,0.38186,0.381859,1.000005,545,8.4,2.1,8.4,2.1,15.55,0.42,316,24.6,4.2,24.4,4.2,15.55,0.4,2.6188,2.6527,29.5029,0.0347,15.3711,2.6188,2.6243,180.1802,0.0351,20.276,0.02,1e-05,,Z,5.0,period
1448299,0.606912,0.60694,0.606926,1.000046,435,32.5,2.7,35.1,3.0,15.05,0.77,267,35.6,5.4,40.8,5.4,15.03,0.7,1.6477,1.6816,29.4551,0.0762,16.5293,1.6476,1.6531,180.9955,0.0363,15.03,0.07,5e-05,,Z,10.0,period
1593736,0.592628,0.59265,0.592639,1.000037,264,2.1,1.2,2.2,1.2,16.45,0.37,532,35.9,5.7,36.4,5.5,16.63,0.36,1.6874,1.7584,14.0795,0.0353,8.9538,1.6873,1.691,272.4796,0.0024,10.2752,0.01,4e-05,,Z,5.0,period
1748058,0.310237,0.310176,0.310206,0.999803,463,2.2,1.4,13.5,4.2,15.74,0.38,272,30.7,5.7,40.7,7.1,15.76,0.23,3.2233,3.2572,29.5203,0.0428,20.2894,3.224,3.2297,173.3102,0.0077,8.322,0.15,0.0002,,Z,7.0,period
1857382,0.566428,0.566407,0.566418,0.999963,280,20.4,2.7,25.2,2.8,14.34,0.55,417,14.9,2.5,17.8,2.9,14.3,0.56,1.7655,1.836,14.1814,0.0717,10.3483,1.7655,1.782,60.5877,0.0037,8.829,0.01,4e-05,,Z,10.0,period
1882354,0.695061,0.695029,0.695045,0.999954,313,3.0,1.5,3.9,1.7,15.82,0.63,411,13.2,2.8,15.8,2.8,15.71,0.7,1.4387,1.4909,19.1516,0.0753,8.1631,1.4388,1.4419,326.2643,0.0285,15.2308,0.07,5e-05,,Z,7.0,period
2041979,0.653694,0.653639,0.653666,0.999916,276,1.5,1.2,2.4,1.3,16.14,0.63,1378,57.5,5.3,66.8,5.7,16.27,0.64,1.5298,1.5944,15.4607,0.063,6.6223,1.5299,1.5816,19.3442,0.0024,6.8018,0.01,8e-05,,Z,7.0,period
2075949,0.477806,0.477666,0.477736,0.999707,519,4.0,1.6,29.7,4.4,15.57,0.69,130,22.2,4.7,56.2,5.6,15.86,0.6,2.0929,2.1268,29.4768,0.0754,16.9427,2.0935,2.1389,22.041,0.0317,8.6985,0.09,0.00029,,Z,8.0,period
2117028,0.591245,0.591243,0.591244,0.999997,527,10.2,2.2,10.1,2.1,15.07,0.64,193,22.1,3.5,22.4,3.4,15.14,0.79,1.6913,1.7252,29.5552,0.0566,11.0045,1.6914,1.6968,182.3154,0.0039,6.5939,0.15,0.0,,Z,8.0,period
2122319,0.359422,0.359424,0.359423,1.000006,519,7.2,2.1,7.2,2.2,15.64,0.38,199,36.6,6.1,36.5,6.2,15.67,0.55,2.7822,2.8161,29.5421,0.0269,16.6582,2.7822,2.8926,9.0645,0.0044,8.681,0.17,1e-05,,Z,7.0,amp
2229607,0.575179,0.575211,0.575195,1.000056,290,2.7,1.2,2.8,1.2,16.13,0.55,731,38.3,4.4,48.2,4.3,16.11,0.81,1.7386,1.8093,14.1383,0.0626,7.3519,1.7385,1.7433,207.2539,0.0017,10.3544,0.26,6e-05,,Z,9.0,period
2243683,0.579777,0.579803,0.57979,1.000045,531,22.0,3.1,24.8,3.2,15.07,0.52,262,36.0,4.3,42.2,4.3,14.96,0.56,1.7248,1.7588,29.4204,0.0526,16.6097,1.7247,1.7303,180.018,0.0141,8.5969,0.04,4e-05,,Z,14.0,period
2248787,0.563528,0.563539,0.563534,1.00002,540,8.8,2.1,9.3,2.0,15.27,0.74,283,15.6,2.4,15.9,2.6,15.25,0.68,1.7745,1.8085,29.4638,0.0498,15.1232,1.7745,1.7937,52.1648,0.0215,16.4951,0.06,2e-05,,Z,9.0,amp
2334384,0.555341,0.555333,0.555337,0.999986,443,10.5,2.0,10.7,2.1,15.01,0.63,204,84.7,6.5,88.6,6.6,15.0,0.88,1.8007,1.8346,29.5377,0.0505,9.9968,1.8007,1.8353,28.9394,0.0038,6.6725,0.25,1e-05,,Z,7.0,amp
2397296,0.488814,0.488836,0.488825,1.000045,522,3.2,1.2,3.9,1.3,16.17,0.65,196,78.9,6.6,84.1,6.8,16.02,1.01,2.0458,2.0796,29.5421,0.0595,14.0709,2.0457,2.0672,46.5224,0.0206,14.176,0.36,5e-05,,Z,9.0,period
2414841,0.559611,0.559592,0.559602,0.999966,522,5.6,1.7,6.5,1.8,15.25,0.69,305,62.8,5.7,79.8,6.0,15.33,1.09,1.787,1.8208,29.5421,0.0855,11.1928,1.787,1.792,201.2072,0.0092,11.4217,0.4,3e-05,,Z,7.0,period
2455568,0.594119,0.594092,0.594106,0.999955,337,7.7,2.0,15.1,2.4,14.79,0.62,448,6.4,2.1,12.0,2.6,14.75,0.57,1.6832,1.717,29.5946,0.0802,9.8075,1.6832,1.6862,339.5586,0.0102,9.9798,0.05,5e-05,,Z,12.0,period
2612592,0.571562,0.571543,0.571552,0.999967,270,2.4,1.3,3.5,1.4,15.31,0.76,1391,24.8,2.8,27.7,2.9,15.26,0.7,1.7496,1.8173,14.7787,0.0978,5.8651,1.7496,1.7544,208.5506,0.0068,18.0944,0.06,3e-05,,Z,5.0,period
2653982,0.607082,0.60711,0.607096,1.000046,534,1.3,1.0,7.2,1.5,15.43,1.01,294,8.3,2.1,15.7,2.3,15.44,0.92,1.6472,1.681,29.5989,0.1026,14.2957,1.6471,1.6526,182.3154,0.0313,14.4972,0.09,5e-05,,Z,7.0,period
2766997,0.289881,0.289943,0.289912,1.000214,306,3.5,1.8,7.0,2.1,16.3,0.37,130,11.5,3.6,23.8,3.5,16.33,0.31,3.4497,3.4862,27.3635,0.0135,8.6894,3.449,3.4528,257.732,0.0128,10.1811,0.06,0.00021,,Z,13.0,period
2892940,0.539855,0.539896,0.539876,1.000076,462,3.7,1.3,5.1,1.5,16.16,0.9,169,49.1,4.2,78.5,6.0,16.06,1.21,1.8523,1.8862,29.529,0.0783,12.9993,1.8522,1.9288,13.0514,0.0238,10.5259,0.31,8e-05,,Z,9.0,period
3036295,0.629705,0.629714,0.629709,1.000014,502,4.5,1.8,4.8,1.8,14.88,0.34,808,5.8,2.2,5.9,2.2,14.81,0.34,1.588,1.6219,29.5029,0.0608,16.874,1.588,1.5934,184.6722,0.0135,18.6388,0.0,1e-05,,Z,8.0,period
3140139,0.30459,0.304585,0.304588,0.999984,255,7.7,2.5,7.8,2.6,15.62,0.4,343,25.1,5.6,26.5,5.4,15.49,0.6,3.2831,3.3529,14.3338,0.0256,10.8164,3.2832,3.4219,7.2056,0.0035,8.4888,0.2,2e-05,,Z,7.0,amp
3183285,0.349653,0.349664,0.349658,1.000031,485,4.1,1.2,5.2,1.5,15.51,0.48,588,15.7,2.8,22.3,3.2,15.46,0.58,2.86,2.8939,29.4768,0.0388,17.3861,2.8599,2.8654,181.8182,0.0024,15.1581,0.1,3e-05,,Z,5.0,period
3196582,0.268017,0.268018,0.268018,1.000004,479,8.6,2.5,9.0,2.5,14.82,0.35,172,10.1,3.4,10.1,3.4,14.7,0.51,3.7311,3.765,29.5203,0.0285,25.6121,3.7311,3.8361,9.5256,0.0026,6.7338,0.16,0.0,,Z,10.0,amp
3196780,0.504148,0.504199,0.504174,1.000101,475,9.3,2.2,30.8,2.9,15.15,0.81,286,21.5,3.2,102.9,6.9,15.08,0.85,1.9835,2.0029,51.7331,0.0734,18.1467,1.9833,1.9889,181.653,0.023,11.623,0.04,0.0001,,Z,12.0,period
3294319,0.55546,0.555473,0.555466,1.000023,802,10.4,1.9,10.8,1.9,15.44,0.76,169,40.0,4.7,46.3,4.9,15.65,0.88,1.8003,1.8342,29.4855,0.0517,11.3597,1.8003,1.8673,14.9098,0.0115,10.6526,0.12,2e-05,,Z,6.0,amp
3437725,0.542457,0.542478,0.542468,1.000039,266,3.5,1.5,4.2,1.6,15.89,0.67,355,64.8,6.3,81.9,6.2,15.72,1.07,1.8435,1.9231,12.5557,0.0612,7.0611,1.8434,1.9231,12.5447,0.0101,8.7519,0.4,4e-05,,Z,7.0,period
3591037,0.558643,0.558609,0.558626,0.999939,449,5.4,1.3,12.5,1.7,15.69,0.76,544,30.1,3.5,50.9,4.1,15.72,0.65,1.7901,1.7929,352.1127,0.0622,13.9545,1.7902,1.7956,182.3154,0.012,20.9073,0.11,6e-05,,Z,7.0,period
3941776,0.532222,0.532209,0.532216,0.999976,271,18.8,2.8,21.2,2.9,14.88,0.77,549,89.0,6.0,90.4,6.3,14.92,0.61,1.8789,1.9253,21.5564,0.065,9.3459,1.879,1.8844,184.1621,0.0104,16.0939,0.16,2e-05,,Z,7.0,amp
4101289,0.379225,0.37925,0.379238,1.000066,256,2.0,1.2,3.1,1.4,15.72,0.39,657,9.0,2.7,11.8,3.1,15.66,0.37,2.637,2.7048,14.7308,0.0266,8.732,2.6368,2.6416,209.205,0.002,9.3479,0.02,7e-05,,Z,6.0,period
4586691,0.621459,0.621446,0.621452,0.999979,582,5.7,2.0,6.1,2.0,15.24,0.42,809,18.1,3.4,17.9,3.5,15.19,0.44,1.6091,1.6431,29.4681,0.0228,10.1345,1.6092,1.612,346.0208,0.0599,5.4645,0.02,2e-05,,Z,8.0,period
4804945,0.556172,0.556217,0.556194,1.000081,279,12.5,2.5,13.0,2.8,15.49,0.58,889,100.5,7.8,101.2,7.4,15.47,0.56,1.798,1.8683,14.2268,0.0349,6.1948,1.7979,1.8017,258.3979,0.0033,11.3557,0.02,8e-05,,Z,9.0,period
5421989,0.53451,0.534527,0.534518,1.000032,288,0.8,0.8,0.9,0.8,16.38,0.76,2670,13.5,2.5,18.9,2.4,16.21,0.85,1.8709,1.9414,14.1884,0.0538,8.7567,1.8708,1.9368,15.1561,0.0186,17.6914,0.09,3e-05,,Z,5.0,period
6582265,0.691751,0.691749,0.69175,0.999997,282,12.4,2.9,12.5,3.0,14.45,0.56,214,18.1,3.7,17.9,3.6,14.57,0.73,1.4456,1.4796,29.4594,0.0668,7.4612,1.4456,1.4566,91.4077,0.008,10.1171,0.17,0.0,,Z,10.0,amp
6651516,0.308488,0.308496,0.308492,1.000026,426,2.1,1.3,3.5,1.7,15.25,0.36,448,60.9,5.8,64.2,5.2,15.25,0.48,3.2416,3.2755,29.4724,0.0439,26.5685,3.2415,3.3595,8.4767,0.0031,12.7208,0.12,3e-05,,Z,6.0,period
6819457,0.436282,0.436265,0.436274,0.999961,325,32.5,3.6,39.8,3.9,15.03,0.95,1358,121.2,9.6,136.2,10.4,15.11,0.79,2.2921,2.295,346.0208,0.0669,9.4986,2.2922,2.3005,120.048,0.0205,11.7902,0.16,4e-05,,Z,16.0,period
6883239,0.563711,0.563712,0.563711,1.000002,305,15.1,2.9,15.1,2.9,14.35,0.79,66,10.6,2.5,10.6,2.5,14.45,0.56,1.774,1.8444,14.1935,0.0929,7.2619,1.774,1.7769,336.7003,0.0472,10.2268,0.23,0.0,,Z,10.0,amp
6967017,0.529691,0.529677,0.529684,0.999974,323,13.3,2.3,15.2,2.3,14.63,0.63,231,70.6,6.9,79.5,7.1,14.57,0.96,1.8879,1.9218,29.4724,0.0791,14.2362,1.8879,1.9467,17.0111,0.0095,13.6909,0.33,3e-05,,Z,9.0,period
7048826,0.317781,0.31779,0.317786,1.000028,535,4.0,1.4,8.0,1.9,14.93,0.5,597,55.3,5.9,62.3,4.9,14.93,0.46,3.1468,3.1807,29.4942,0.0464,26.9053,3.1467,3.1497,338.4095,0.0254,16.6105,0.04,3e-05,,Z,5.0,period
7254801,0.561133,0.561071,0.561102,0.99989,310,2.2,1.3,5.7,1.8,15.88,0.63,334,48.4,5.5,104.3,7.0,15.91,0.8,1.7821,1.8527,14.1563,0.055,6.4741,1.7823,1.7872,205.3388,0.005,9.6841,0.17,0.00011,,Z,9.0,period
7279621,0.415469,0.415467,0.415468,0.999995,324,5.0,1.9,5.1,1.9,15.59,0.38,728,26.7,4.6,26.8,4.7,15.6,0.33,2.4069,2.5166,9.1183,0.0311,5.3593,2.4069,2.4145,131.3198,0.0023,12.2092,0.05,0.0,,Z,5.0,period
7283275,0.543342,0.543331,0.543336,0.99998,297,8.4,2.2,11.2,2.3,14.86,0.88,722,14.3,3.6,13.8,3.3,14.81,0.84,1.8405,1.9216,12.3259,0.1038,8.202,1.8405,1.9216,12.3259,0.0149,9.3361,0.04,2e-05,,Z,8.0,period
7344401,0.330201,0.330226,0.330214,1.000076,397,5.9,1.8,9.5,2.3,15.15,0.36,1164,22.0,2.7,36.4,3.8,15.12,0.48,3.0285,3.13,9.8449,0.0174,8.5404,3.0282,3.0393,89.9281,0.0016,19.5173,0.12,8e-05,,Z,13.0,period
7580734,0.314956,0.314957,0.314956,1.000003,387,4.1,2.0,4.1,2.0,15.46,0.38,354,13.7,4.0,13.9,3.9,15.45,0.38,3.175,3.2089,29.5596,0.0295,16.956,3.175,3.1805,181.9836,0.0156,23.2702,0.0,0.0,,Z,8.0,period
7657340,0.49548,0.495493,0.495486,1.000026,482,11.8,2.3,12.4,2.3,15.67,0.79,511,31.0,4.0,32.5,4.3,15.68,0.73,2.0182,2.0274,109.1703,0.0294,9.7739,2.0182,2.0259,129.9545,0.0385,15.1915,0.06,3e-05,,Z,11.0,period
7811366,0.489523,0.489521,0.489522,0.999996,253,11.4,2.0,11.5,2.0,15.18,0.81,1119,62.0,4.7,62.2,4.7,15.07,1.08,2.0428,2.1151,13.8293,0.0483,5.9174,2.0428,2.0629,49.8504,0.0083,26.4856,0.27,0.0,,Z,7.0,amp
7827663,0.390832,0.390832,0.390832,1.0,385,17.7,3.4,17.7,3.4,14.93,0.32,345,26.2,4.5,26.2,4.5,14.83,0.4,2.5586,2.5925,29.5334,0.0264,14.7403,2.5586,2.5641,182.6484,0.0144,21.0938,0.08,0.0,,Z,13.0,amp
7846640,0.551495,0.551518,0.551506,1.000042,447,5.3,1.5,6.0,1.4,16.05,0.76,178,109.1,9.2,119.4,8.4,16.21,0.81,1.8133,1.8942,12.3472,0.0616,8.0539,1.8132,1.8236,96.0615,0.0061,7.4412,0.05,4e-05,,Z,5.0,period
8222011,0.35092,0.350914,0.350917,0.999983,264,5.2,2.0,5.3,2.0,15.59,0.46,729,25.2,4.8,25.7,4.9,15.63,0.35,2.8497,2.8923,23.4247,0.0281,8.14,2.8497,2.8532,284.495,0.0019,13.0052,0.11,2e-05,,Z,6.0,amp
8311517,0.523354,0.523359,0.523356,1.00001,331,11.4,1.8,11.5,1.8,15.3,0.74,257,48.6,3.6,50.4,3.7,15.21,0.99,1.9108,1.9567,21.7533,0.0446,9.2461,1.9107,1.9567,21.7439,0.0149,18.7973,0.25,1e-05,,Z,10.0,amp
8331094,0.267543,0.267549,0.267546,1.000022,430,4.1,2.1,5.3,2.3,15.12,0.35,301,9.7,3.3,11.7,3.6,15.07,0.39,3.7377,3.7716,29.4985,0.0298,21.6892,3.7376,3.7431,182.6484,0.0195,22.0613,0.04,2e-05,,Z,8.0,period
8343291,0.569785,0.569791,0.569788,1.000011,474,31.4,3.3,31.8,3.2,14.95,0.7,288,63.3,5.1,63.5,5.1,14.88,0.68,1.755,1.7888,29.6121,0.0427,11.3625,1.755,1.7605,181.4882,0.0139,10.6149,0.02,1e-05,,Z,12.0,period
9063194,0.575781,0.57576,0.57577,0.999964,467,16.1,2.4,24.1,2.9,14.73,0.83,283,24.2,3.1,30.0,3.6,14.79,0.65,1.7368,1.7707,29.4898,0.0781,17.0849,1.7368,1.7424,179.3722,0.0134,14.056,0.18,4e-05,,Z,12.0,period
9236215,0.35257,0.352572,0.352571,1.000006,444,4.2,1.8,4.2,1.7,16.19,0.42,133,13.9,2.8,13.9,2.9,16.21,0.33,2.8363,2.8702,29.5508,0.0352,17.7326,2.8363,2.8391,352.1127,0.0414,22.477,0.09,1e-05,,Z,9.0,amp
9449335,0.47572,0.475695,0.475707,0.999947,257,15.1,2.0,31.2,3.2,15.24,0.89,506,49.0,5.0,110.2,6.0,15.16,1.15,2.1021,2.1359,29.5465,0.1036,11.6301,2.1022,2.1519,20.1045,0.0201,25.436,0.26,5e-05,,Z,11.0,period
9532981,0.591,0.591042,0.591021,1.000071,282,7.4,1.7,10.2,2.2,16.0,0.59,320,68.0,6.2,72.0,6.7,16.06,0.39,1.692,1.6948,357.7818,0.0979,6.5416,1.6919,1.7055,73.6648,0.0066,7.6992,0.2,7e-05,,Z,9.0,period
9918809,0.47946,0.479509,0.479484,1.000102,265,7.8,1.9,8.3,2.2,15.81,0.6,601,161.8,11.6,169.8,11.9,15.72,0.58,2.0857,2.1556,14.3113,0.0438,5.8301,2.0855,2.099,73.7735,0.007,11.8408,0.02,0.0001,,Z,9.0,period
9968431,0.302266,0.302211,0.302238,0.999818,273,2.8,1.7,7.3,2.3,16.08,0.32,323,7.4,2.2,47.0,7.5,16.04,0.38,3.3083,3.4584,6.666,0.0295,5.9893,3.3089,3.4607,6.588,0.0191,9.3307,0.06,0.00018,,Z,7.0,period
9979905,0.338739,0.338739,0.338739,1.0,457,7.9,2.5,7.9,2.5,14.72,0.46,220,11.3,2.3,11.3,2.3,14.69,0.69,2.9521,2.986,29.5072,0.0354,19.9321,2.9521,2.9788,37.5023,0.0051,20.0293,0.23,0.0,,Z,10.0,amp
10030349,0.545073,0.545074,0.545074,1.000002,255,8.7,2.1,8.7,2.1,14.76,0.75,901,34.2,4.4,34.2,4.4,14.68,0.82,1.8346,1.9187,11.8984,0.0863,7.2172,1.8346,1.9187,11.8984,0.0209,6.9202,0.07,0.0,,Z,6.0,amp
10260828,0.380655,0.380643,0.380649,0.999968,280,5.3,2.2,5.5,2.1,15.75,0.35,862,77.3,7.4,79.7,8.0,15.7,0.49,2.6271,2.6976,14.1653,0.0328,9.7681,2.6271,2.6306,284.495,0.0038,25.5513,0.14,3e-05,,Z,8.0,period
10814742,0.462687,0.462683,0.462685,0.999991,257,26.8,2.5,27.2,2.7,14.99,0.9,76,39.9,4.3,40.7,4.2,15.13,0.62,2.1613,2.2185,17.4749,0.0711,6.126,2.1613,2.2405,12.6295,0.0262,7.831,0.28,1e-05,,Z,7.0,amp
11215595,0.54696,0.546943,0.546952,0.999969,338,3.8,1.3,4.2,1.5,15.77,0.87,65,30.7,2.3,27.1,2.8,15.95,0.58,1.8283,1.8623,29.3902,0.0582,7.6094,1.8283,1.8971,14.5465,0.036,5.2378,0.29,3e-05,,Z,6.0,period
16991760,0.549098,0.549096,0.549097,0.999996,260,21.3,2.9,21.4,2.9,15.13,0.75,554,36.3,3.7,35.8,3.7,15.05,1.08,1.8212,1.8889,14.7634,0.085,6.6661,1.8212,1.832,92.2509,0.0022,11.0106,0.33,0.0,,Z,10.0,amp
17247918,0.481867,0.481865,0.481866,0.999996,362,4.9,1.8,4.9,1.8,15.83,0.74,413,41.5,4.6,41.5,4.6,15.88,0.72,2.0753,2.1092,29.4985,0.0392,7.9214,2.0753,2.1115,27.5672,0.0238,7.9255,0.02,0.0,,Z,5.0,period
17275627,0.537775,0.537771,0.537773,0.999993,563,7.8,2.1,8.4,2.0,15.13,0.74,474,27.7,4.8,28.2,4.8,15.08,1.0,1.8595,1.8934,29.5029,0.0502,13.095,1.8595,1.9311,13.9665,0.0201,13.1091,0.26,1e-05,,Z,7.0,amp
17302403,0.488261,0.488343,0.488302,1.000168,328,11.0,2.0,30.4,3.1,15.19,0.73,629,74.4,6.4,166.4,9.0,15.25,0.63,2.0481,2.1187,14.1653,0.0494,9.7174,2.0477,2.0703,44.3754,0.0131,17.8729,0.1,0.00017,,Z,10.0,period
17544856,0.614297,0.614296,0.614296,0.999998,533,9.6,2.0,9.5,2.1,14.73,0.59,537,20.9,3.4,20.9,3.4,14.78,0.77,1.6279,1.6618,29.5072,0.0408,10.6021,1.6279,1.6327,206.3983,0.0063,10.3555,0.18,0.0,,Z,10.0,amp
19775800,0.310856,0.310867,0.310862,1.000035,292,2.2,1.3,2.7,1.3,15.69,0.46,2583,15.1,2.7,27.7,3.8,15.6,0.6,3.2169,3.2846,14.77,0.0215,10.4309,3.2168,3.3225,9.463,0.0004,17.3314,0.14,4e-05,,Z,5.0,period
